year,country,location,min_temp,max_temp,avg_temp,min_CO2,max_CO2,avg_CO2,min_Sea_L_Rise,max_Sea_L_Rise,avg_Sea_L_Rise,min_Precipitation,max_Precipitation,avg_Precipitation,min_Humidity,max_Humidity,avg_Humidity,min_Wind_Speed,max_Wind_Speed,avg_Wind_Speed
2000,Afghanistan,Kaylaberg,10.32169458,10.32169458,10.32169458,428.2169338,428.2169338,428.2169338,0.260881713,0.260881713,0.260881713,23.68369711,23.68369711,23.68369711,93.16289209,93.16289209,93.16289209,21.18894019,21.18894019,21.18894019
2000,Afghanistan,Port Donald,22.17414166,22.17414166,22.17414166,476.6863026,476.6863026,476.6863026,1.490173536,1.490173536,1.490173536,69.50823227,69.50823227,69.50823227,20.65440957,20.65440957,20.65440957,14.88229505,14.88229505,14.88229505
2000,Albania,Montgomeryhaven,11.96812454,11.96812454,11.96812454,400.3605648,400.3605648,400.3605648,0.050444465,0.050444465,0.050444465,44.36067737,44.36067737,44.36067737,31.54920094,31.54920094,31.54920094,24.1388839,24.1388839,24.1388839
2000,Algeria,Cuevasfort,11.49634199,11.49634199,11.49634199,472.5399844,472.5399844,472.5399844,-0.988802793,-0.988802793,-0.988802793,16.37736996,16.37736996,16.37736996,18.70445545,18.70445545,18.70445545,2.590338774,2.590338774,2.590338774
2000,Algeria,East Brandonchester,13.84549759,13.84549759,13.84549759,358.1637281,358.1637281,358.1637281,-1.718326176,-1.718326176,-1.718326176,54.00304107,54.00304107,54.00304107,1.669905807,1.669905807,1.669905807,38.68663381,38.68663381,38.68663381
2000,Algeria,Leslieberg,9.192959236,9.192959236,9.192959236,457.1070261,457.1070261,457.1070261,-0.92828046,-0.92828046,-0.92828046,6.567668268,6.567668268,6.567668268,32.76012654,32.76012654,32.76012654,0.968985799,0.968985799,0.968985799
2000,Algeria,Veronicabury,5.710666585,5.710666585,5.710666585,357.5059022,357.5059022,357.5059022,-0.157957156,-0.157957156,-0.157957156,87.70734695,87.70734695,87.70734695,4.24366144,4.24366144,4.24366144,3.0423389,3.0423389,3.0423389
2000,American Samoa,Brownstad,10.90567231,10.90567231,10.90567231,377.1454508,377.1454508,377.1454508,-0.22161725,-0.22161725,-0.22161725,19.0795106,19.0795106,19.0795106,47.71111113,47.71111113,47.71111113,27.19365689,27.19365689,27.19365689
2000,American Samoa,North Kylefort,16.07966876,16.07966876,16.07966876,411.8840735,411.8840735,411.8840735,0.272868196,0.272868196,0.272868196,28.78102951,28.78102951,28.78102951,87.17597842,87.17597842,87.17597842,34.52306745,34.52306745,34.52306745
2000,Andorra,Christopherside,14.11227787,14.11227787,14.11227787,415.027263,415.027263,415.027263,-0.304871988,-0.304871988,-0.304871988,69.13522187,69.13522187,69.13522187,3.851053569,3.851053569,3.851053569,31.51594891,31.51594891,31.51594891
2000,Andorra,Steventown,6.451078175,6.451078175,6.451078175,440.559092,440.559092,440.559092,0.698261099,0.698261099,0.698261099,27.06664988,27.06664988,27.06664988,94.00140267,94.00140267,94.00140267,26.33968038,26.33968038,26.33968038
