"year","country","location","min","max","avg"
2000,"Afghanistan","Kaylaberg",21.18894019384228,21.18894019384228,21.1889401938422800
2000,"Afghanistan","Port Donald",14.88229505220014,14.88229505220014,14.8822950522001400
2000,"Albania","Montgomeryhaven",24.138883904169084,24.138883904169084,24.1388839041690840
2000,"Algeria","Cuevasfort",2.59033877409432,2.59033877409432,2.5903387740943200
2000,"Algeria","East Brandonchester",38.68663381082524,38.68663381082524,38.6866338108252400
2000,"Algeria","Leslieberg",0.9689857985386574,0.9689857985386574,0.96898579853865740000
2000,"Algeria","Veronicabury",3.0423388996967504,3.0423388996967504,3.0423388996967504
2000,"American Samoa","Brownstad",27.193656885563293,27.193656885563293,27.1936568855632930
2000,"American Samoa","North Kylefort",34.52306745451465,34.52306745451465,34.5230674545146500
2000,"Andorra","Christopherside",31.515948913046586,31.515948913046586,31.5159489130465860
2000,"Andorra","Steventown",26.33968038289613,26.33968038289613,26.3396803828961300
2000,"Anguilla","Lake Rachel",34.94341975066322,34.94341975066322,34.9434197506632200
2000,"Antarctica (the territory South of 60 deg S)","Fosterchester",12.102239221858277,12.102239221858277,12.1022392218582770
2000,"Antarctica (the territory South of 60 deg S)","Josephport",5.470460223922852,5.470460223922852,5.4704602239228520
2000,"Antigua and Barbuda","Emmafort",16.642656912974413,16.642656912974413,16.6426569129744130
2000,"Argentina","Johnsonton",34.9788704399698,34.9788704399698,34.9788704399698000
2000,"Armenia","Lake Bradleyhaven",33.63772990618487,33.63772990618487,33.6377299061848700
2000,"Australia","Adambury",29.99349506057048,29.99349506057048,29.9934950605704800
2000,"Australia","Dannyview",39.19059452215433,39.19059452215433,39.1905945221543300
2000,"Australia","Lake Carla",49.03705643806168,49.03705643806168,49.0370564380616800
2000,"Austria","New Sarastad",27.45962516221569,27.45962516221569,27.4596251622156900
2000,"Azerbaijan","Johnsview",48.10554330599198,48.10554330599198,48.1055433059919800
2000,"Azerbaijan","Port Michaelport",38.03108134492067,38.03108134492067,38.0310813449206700
2000,"Bahrain","Cameronview",32.43973278320868,32.43973278320868,32.4397327832086800
2000,"Bahrain","Thompsonburgh",27.800184818719,27.800184818719,27.8001848187190000
2000,"Bahrain","West Annaview",11.859019056893516,11.859019056893516,11.8590190568935160
2000,"Bangladesh","Costastad",20.927454016134707,20.927454016134707,20.9274540161347070
2000,"Bangladesh","Mollyhaven",11.738869044129665,11.738869044129665,11.7388690441296650
2000,"Barbados","New Ryanville",10.372154487263984,10.372154487263984,10.3721544872639840
2000,"Barbados","South Larryland",37.07648154909537,37.07648154909537,37.0764815490953700
2000,"Belize","New Julie",47.89605288143311,47.89605288143311,47.8960528814331100
2000,"Belize","South Diana",26.68584615364622,26.68584615364622,26.6858461536462200
2000,"Benin","Tuckershire",11.009214300220371,11.009214300220371,11.0092143002203710
