"year","country","location","min","max"
2000,"Afghanistan","Kaylaberg",10.32169458080068,10.32169458080068
2000,"Afghanistan","Port Donald",22.174141662091504,22.174141662091504
2000,"Albania","Montgomeryhaven",11.968124536243032,11.968124536243032
2000,"Algeria","Cuevasfort",11.49634199398833,11.49634199398833
2000,"Algeria","East Brandonchester",13.84549759192933,13.84549759192933
2000,"Algeria","Leslieberg",9.192959236394056,9.192959236394056
2000,"Algeria","Veronicabury",5.710666585126432,5.710666585126432
2000,"American Samoa","Brownstad",10.905672308596856,10.905672308596856
2000,"American Samoa","North Kylefort",16.079668762128378,16.079668762128378
2000,"Andorra","Christopherside",14.1122778711458,14.1122778711458
2000,"Andorra","Steventown",6.451078175226973,6.451078175226973
2000,"Anguilla","Lake Rachel",26.86746787443069,26.86746787443069
2000,"Antarctica (the territory South of 60 deg S)","Fosterchester",24.78065227006721,24.78065227006721
2000,"Antarctica (the territory South of 60 deg S)","Josephport",16.59033314534201,16.59033314534201
2000,"Antigua and Barbuda","Emmafort",12.290429559011264,12.290429559011264
2000,"Argentina","Johnsonton",16.80056069519538,16.80056069519538
2000,"Armenia","Lake Bradleyhaven",15.44157781118783,15.44157781118783
2000,"Australia","Adambury",19.73080011919501,19.73080011919501
2000,"Australia","Dannyview",15.203496949981332,15.203496949981332
2000,"Australia","Lake Carla",16.525792329210393,16.525792329210393
2000,"Austria","New Sarastad",16.38539539711364,16.38539539711364
2000,"Azerbaijan","Johnsview",14.771934713901729,14.771934713901729
2000,"Azerbaijan","Port Michaelport",18.900817236527253,18.900817236527253
2000,"Bahrain","Cameronview",21.92670329419693,21.92670329419693
2000,"Bahrain","Thompsonburgh",10.02693179782263,10.02693179782263
2000,"Bahrain","West Annaview",12.9427425563386,12.9427425563386
2000,"Bangladesh","Costastad",19.445122072134243,19.445122072134243
2000,"Bangladesh","Mollyhaven",14.304067191971653,14.304067191971653
2000,"Barbados","New Ryanville",13.348526851229018,13.348526851229018
2000,"Barbados","South Larryland",18.924077122495284,18.924077122495284
2000,"Belize","New Julie",15.457971908297038,15.457971908297038
2000,"Belize","South Diana",15.5765494230117,15.5765494230117
2000,"Benin","Tuckershire",10.801725040099702,10.801725040099702
2000,"Bermuda","North Kristopherland",16.998411393715006,16.998411393715006
2000,"Bhutan","East Nicholas",15.54317921277663,15.54317921277663
2000,"Bhutan","North Victoriamouth",15.809947789303346,15.809947789303346
2000,"Bhutan","Schultzport",15.123535457752396,15.123535457752396
2000,"Bolivia","Charlesland",21.11082689787927,21.11082689787927
2000,"Bolivia","Lake Robertview",16.9093581393216,16.9093581393216
2000,"Bolivia","Stephanieborough",12.62938181499936,12.62938181499936
2000,"Bolivia","West Matthew",17.932239284765757,17.932239284765757
2000,"Bosnia and Herzegovina","Alexischester",15.556628423300069,15.556628423300069
2000,"Bosnia and Herzegovina","Port Paigeborough",15.303427395295662,15.303427395295662
2000,"Bosnia and Herzegovina","Sarahside",10.61927144522944,10.61927144522944
2000,"Bosnia and Herzegovina","Vaughnbury",14.227560750559665,14.227560750559665
2000,"Botswana","Karinachester",19.486267396725378,19.486267396725378
2000,"Botswana","Mendezton",9.011849740865264,9.011849740865264
2000,"Botswana","Port Andrewhaven",13.650258218859843,13.650258218859843
2000,"Botswana","South Brandonmouth",19.69729414711512,19.69729414711512
2000,"Botswana","West Lisaville",16.377487474978608,16.377487474978608
2000,"Bouvet Island (Bouvetoya)","North Valerieport",16.595933958924682,16.595933958924682
2000,"Bouvet Island (Bouvetoya)","Scottmouth",16.99683277956441,16.99683277956441
2000,"British Indian Ocean Territory (Chagos Archipelago)","West Jeffrey",14.89574312670864,14.89574312670864
2000,"British Virgin Islands","Paulview",17.426150066274083,17.426150066274083
2000,"Brunei Darussalam","Lake Stephanie",8.857165398391972,8.857165398391972
2000,"Brunei Darussalam","Port Lauren",13.014041644955016,13.014041644955016
2000,"Brunei Darussalam","South Jennifer",15.721363265770462,15.721363265770462
2000,"Bulgaria","Kathyfurt",9.293540463320625,9.293540463320625
2000,"Bulgaria","Lake Susanfort",12.58642926054884,12.58642926054884
2000,"Bulgaria","West Karenmouth",23.89013014871705,23.89013014871705
2000,"Burkina Faso","North Kelseyberg",20.252692626451385,20.252692626451385
2000,"Burkina Faso","North Virginiafort",13.084665504169692,13.084665504169692
2000,"Burkina Faso","South Jamie",8.00761253977697,8.00761253977697
2000,"Burkina Faso","Villarrealstad",17.49486471096342,17.49486471096342
2000,"Cambodia","Heatherville",14.603366056005791,14.603366056005791
2000,"Cambodia","Lake Michael",6.876880563643242,6.876880563643242
2000,"Cameroon","North Elizabeth",10.475711409217666,10.475711409217666
2000,"Canada","Danielport",13.312956259432772,13.312956259432772
2000,"Canada","Ellisshire",4.096717213329942,4.096717213329942
2000,"Cape Verde","Kennethburgh",19.639901700749505,19.639901700749505
