"year","country","min","max","avg"
2000,"Afghanistan",20.654409569062583,93.16289209077576,56.9086508299191715
2000,"Albania",31.54920094302937,31.54920094302937,31.5492009430293700
2000,"Algeria",1.6699058065187011,32.76012654485646,14.3445373105715140
2000,"American Samoa",47.7111111337872,87.17597841869896,67.4435447762430800
2000,"Andorra",3.851053568743179,94.00140267281552,48.9262281207793495
2000,"Anguilla",57.07520218625017,57.07520218625017,57.0752021862501700
2000,"Antarctica (the territory South of 60 deg S)",63.838936217999006,79.43828434818862,71.6386102830938130
2000,"Antigua and Barbuda",58.728598922147135,58.728598922147135,58.7285989221471350
2000,"Argentina",49.81580102546555,49.81580102546555,49.8158010254655500
2000,"Armenia",31.42690698262969,31.42690698262969,31.4269069826296900
2000,"Australia",1.6839921890450582,88.39333916960183,37.2012270212452844
2000,"Austria",37.92099235391354,37.92099235391354,37.9209923539135400
2000,"Azerbaijan",47.06695765580697,81.52129086385813,64.2941242598325500
2000,"Bahrain",17.556967194231397,47.72895684865398,36.3467675195741123
2000,"Bangladesh",14.207801966577128,50.25333317692575,32.2305675717514390
2000,"Barbados",41.4480951830649,86.20874733905806,63.8284212610614800
2000,"Belize",23.83147894821441,93.41784326738168,58.6246611077980450
2000,"Benin",97.67227429811248,97.67227429811248,97.6722742981124800
2000,"Bermuda",77.54564565067687,77.54564565067687,77.5456456506768700
2000,"Bhutan",2.0813702686033557,20.13980394946676,12.9631769526281152
2000,"Bolivia",29.15059641369835,73.0896328678218,50.9958613159413775
2000,"Bosnia and Herzegovina",32.03728975287438,99.39304233870548,77.1961363601824250
2000,"Botswana",9.65456292822122,88.6966852911248,55.2236635807670682
2000,"Bouvet Island (Bouvetoya)",86.745853862431,99.59940673582588,93.1726302991284400
2000,"British Indian Ocean Territory (Chagos Archipelago)",2.646945401850964,2.646945401850964,2.6469454018509640
2000,"British Virgin Islands",17.107744754300903,17.107744754300903,17.1077447543009030
2000,"Brunei Darussalam",4.284786083503878,99.01939895178748,40.2949988454528880
2000,"Bulgaria",59.32353269906858,64.31923222010303,61.9916925378644587
2000,"Burkina Faso",40.83915437012385,92.17786726424444,63.3229662866827315
2000,"Cambodia",51.20197334791043,69.59087966214571,60.3964265050280700
2000,"Cameroon",93.62466059704592,93.62466059704592,93.6246605970459200
2000,"Canada",38.05930357343031,73.85346087027698,55.9563822218536450
2000,"Cape Verde",6.248380850570023,89.25457633845268,44.8002382309440692
2000,"Cayman Islands",9.999959939529646,31.043390030991848,17.7208046846830600
2000,"Central African Republic",85.83092995720007,85.83092995720007,85.8309299572000700
2000,"Chad",17.504465103519372,88.4227939532216,43.3011002966845907
2000,"Chile",22.45349020174577,63.90263610257958,43.1780631521626750
2000,"China",20.40740411632068,76.02941218734338,46.3954360866072325
2000,"Cocos (Keeling) Islands",8.28530787984587,20.758798277096936,14.5220530784714030
2000,"Colombia",64.02404529177711,70.17553366714765,67.0997894794623800
2000,"Comoros",3.905196785230869,88.08100382096814,55.2042027914138623
2000,"Congo",7.654420065899748,72.10104877518565,41.1683717471609770
2000,"Cook Islands",18.373014233717576,82.38257452938555,43.9254463337907460
2000,"Costa Rica",22.63775396442751,98.522789670633,68.8556483719763500
2000,"Cote d'Ivoire",33.28666648012892,96.16829696887524,64.7274817245020800
2000,"Cuba",3.0263670175254886,3.0263670175254886,3.0263670175254886
2000,"Czech Republic",5.076455995222329,49.17712046507613,27.1267882301492295
2000,"Denmark",14.135170337212466,50.6738896885245,32.4045300128684830
2000,"Djibouti",25.031713039924096,89.53462536919949,57.2831692045617930
2000,"Dominica",69.15914059117631,87.85411370316805,78.5066271471721800
2000,"Ecuador",20.355854594614232,95.82646628273882,53.5187615216298300
2000,"Egypt",56.71940603072487,83.4062518121287,70.0628289214267850
2000,"El Salvador",94.20464909704836,94.20464909704836,94.2046490970483600
2000,"Equatorial Guinea",37.69558959188566,97.34909152275794,68.3479099859175325
2000,"Eritrea",8.277787484146092,96.21188746436684,52.2448374742564660
2000,"Estonia",2.1943362686397405,49.7215705289489,33.6368586686197735
2000,"Ethiopia",27.74861701207657,27.74861701207657,27.7486170120765700
2000,"Falkland Islands (Malvinas)",68.0352517506633,68.0352517506633,68.0352517506633000
2000,"Faroe Islands",18.931089584434037,18.931089584434037,18.9310895844340370
2000,"Fiji",24.38378949573763,37.566388975493496,30.2942407847227207
2000,"Finland",56.81474862688174,57.95296668264225,57.3838576547619950
2000,"France",62.0786335028401,62.0786335028401,62.0786335028401000
2000,"French Guiana",91.49849173850664,96.65259963507044,94.0755456867885400
2000,"French Polynesia",5.2238274262090485,16.24926688691566,10.7365471565623543
2000,"French Southern Territories",49.15239800906096,87.70152798025715,66.0059593520802800
2000,"Gabon",0.4383938865966552,82.34076026980155,39.2696767948269717
2000,"Georgia",50.88603520070821,95.05445324676134,67.5490899020619100
2000,"Germany",94.45283302539444,94.45283302539444,94.4528330253944400
2000,"Ghana",36.01303752534307,36.01303752534307,36.0130375253430700
2000,"Gibraltar",46.00633434437048,46.00633434437048,46.0063343443704800
2000,"Greece",20.162059497590175,91.57195374734803,46.7502658485287760
2000,"Grenada",38.10825001394511,85.07214858895573,61.5901993014504200
2000,"Guadeloupe",49.20691467468175,49.20691467468175,49.2069146746817500
