"year","country","location","min","max","avg"
2000,"Afghanistan","Kaylaberg",428.216933849488,428.216933849488,428.2169338494880000
2000,"Afghanistan","Port Donald",476.6863025503615,476.6863025503615,476.6863025503615000
2000,"Albania","Montgomeryhaven",400.36056475019376,400.36056475019376,400.3605647501937600
2000,"Algeria","Cuevasfort",472.5399843713094,472.5399843713094,472.5399843713094000
2000,"Algeria","East Brandonchester",358.16372812448526,358.16372812448526,358.1637281244852600
2000,"Algeria","Leslieberg",457.1070260546836,457.1070260546836,457.1070260546836000
2000,"Algeria","Veronicabury",357.50590216883705,357.50590216883705,357.5059021688370500
2000,"American Samoa","Brownstad",377.1454508378901,377.1454508378901,377.1454508378901000
2000,"American Samoa","North Kylefort",411.8840735044832,411.8840735044832,411.8840735044832000
2000,"Andorra","Christopherside",415.0272630101721,415.0272630101721,415.0272630101721000
2000,"Andorra","Steventown",440.5590919535146,440.5590919535146,440.5590919535146000
2000,"Anguilla","Lake Rachel",482.9912398255673,482.9912398255673,482.9912398255673000
2000,"Antarctica (the territory South of 60 deg S)","Fosterchester",338.372942912585,338.372942912585,338.3729429125850000
2000,"Antarctica (the territory South of 60 deg S)","Josephport",375.7293089788387,375.7293089788387,375.7293089788387000
2000,"Antigua and Barbuda","Emmafort",321.1354833563896,321.1354833563896,321.1354833563896000
2000,"Argentina","Johnsonton",343.98556326178027,343.98556326178027,343.9855632617802700
2000,"Armenia","Lake Bradleyhaven",349.48422104390045,349.48422104390045,349.4842210439004500
2000,"Australia","Adambury",448.1802750047965,448.1802750047965,448.1802750047965000
2000,"Australia","Dannyview",346.84012809922604,346.84012809922604,346.8401280992260400
2000,"Australia","Lake Carla",451.40675566793936,451.40675566793936,451.4067556679393600
2000,"Austria","New Sarastad",352.4782717768196,352.4782717768196,352.4782717768196000
2000,"Azerbaijan","Johnsview",348.8183388335473,348.8183388335473,348.8183388335473000
2000,"Azerbaijan","Port Michaelport",333.83101861760906,333.83101861760906,333.8310186176090600
2000,"Bahrain","Cameronview",420.2596519483585,420.2596519483585,420.2596519483585000
2000,"Bahrain","Thompsonburgh",325.31158834806394,325.31158834806394,325.3115883480639400
2000,"Bahrain","West Annaview",350.0662307483054,350.0662307483054,350.0662307483054000
2000,"Bangladesh","Costastad",339.3194044635416,339.3194044635416,339.3194044635416000
2000,"Bangladesh","Mollyhaven",392.0227110764799,392.0227110764799,392.0227110764799000
2000,"Barbados","New Ryanville",323.9402967853906,323.9402967853906,323.9402967853906000
2000,"Barbados","South Larryland",361.001948748036,361.001948748036,361.0019487480360000
2000,"Belize","New Julie",409.95574765082256,409.95574765082256,409.9557476508225600
2000,"Belize","South Diana",406.3255328519209,406.3255328519209,406.3255328519209000
2000,"Benin","Tuckershire",436.54268010443104,436.54268010443104,436.5426801044310400
